linux-firmware-misc	20260319.git217ca6e4-0ubuntu2.2	all	optional
linux-firmware-netronome	20260319.git217ca6e4-0ubuntu1.1	all	optional
linux-firmware-nvidia-graphics	20260319.git217ca6e4-0ubuntu1.1	all	optional
linux-firmware-qlogic	20260319.git217ca6e4-0ubuntu1.1	all	optional
linux-firmware-qualcomm-graphics	20260319.git217ca6e4-0ubuntu1.1	all	optional
linux-firmware-qualcomm-misc	20260319.git217ca6e4-0ubuntu2.1	all	optional
linux-firmware-qualcomm-wireless	20260319.git217ca6e4-0ubuntu1.2	all	optional
linux-firmware-realtek	20260319.git217ca6e4-0ubuntu1.2	all	optional
linux-generic	7.0.0-34.34	amd64	optional
linux-headers-7.0.0-30	7.0.0-30.30	all	optional
linux-headers-7.0.0-30-generic	7.0.0-30.30	amd64	optional
linux-headers-7.0.0-34	7.0.0-34.34	all	optional
linux-headers-7.0.0-34-generic	7.0.0-34.34	amd64	optional
linux-headers-generic	7.0.0-34.34	amd64	optional
linux-image-7.0.0-34-generic	7.0.0-34.34	amd64	optional
linux-image-generic	7.0.0-34.34	amd64	optional
linux-image-unsigned-7.0.0-30-generic	7.0.0-30.30	amd64	optional
linux-libc-dev	7.0.0-34.34	amd64	optional
linux-main-modules-zfs-7.0.0-30-generic	7.0.0-30.30	amd64	optional
linux-main-modules-zfs-7.0.0-34-generic	7.0.0-34.34	amd64	optional
linux-modules-7.0.0-30-generic	7.0.0-30.30	amd64	optional
linux-modules-7.0.0-34-generic	7.0.0-34.34	amd64	optional
linux-perf	7.0.0-34.34	amd64	optional
linux-sysctl-defaults	4.15ubuntu5	all	important
linux-tools-7.0.0-30	7.0.0-30.30	amd64	optional
linux-tools-7.0.0-30-generic	7.0.0-30.30	amd64	optional
linux-tools-7.0.0-34	7.0.0-34.34	amd64	optional
linux-tools-7.0.0-34-generic	7.0.0-34.34	amd64	optional
linux-tools-common	7.0.0-34.34	all	optional
locales	2.43-2ubuntu2.4	all	standard
login	1:4.16.0-2+really2.41.3-3ubuntu2.2	amd64	required
login.defs	1:4.17.4-2ubuntu3	all	required
logsave	1.47.2-3ubuntu4	amd64	required
lsb-base	11.6build1	all	optional
lsb-release	12.1-2build1	all	optional
lvm2	2.03.31-2ubuntu3	amd64	optional
lxd-installer	14ubuntu0	all	optional
makedumpfile	1:1.7.7-1	amd64	optional
manpages	6.17-1	all	standard
manpages-dev	6.17-1	all	optional
mawk	1.3.4.20260129-1	amd64	required
mdadm	4.5-5ubuntu1	amd64	optional
media-types	14.0.0build1	all	standard
mokutil	0.7.2-2	amd64	optional
mount	2.41.3-3ubuntu2.2	amd64	required
multipath-tools	0.14.3-2ubuntu1	amd64	optional
ncurses-base	6.6+20251231-1	all	required
ncurses-bin	6.6+20251231-1	amd64	required
ncurses-term	6.6+20251231-1	all	standard
needrestart	3.11-1ubuntu2	all	optional
netbase	6.5build1	all	important
netcat-openbsd	1.234-1	amd64	important
netplan-generator	1.2-1ubuntu5	amd64	optional
netplan.io	1.2-1ubuntu5	amd64	optional
networkd-dispatcher	2.2.4-1.1ubuntu1	all	optional
open-iscsi	2.1.11-3ubuntu3	amd64	optional
openssh-client	1:10.2p1-2ubuntu3.6	amd64	standard
openssh-server	1:10.2p1-2ubuntu3.6	amd64	optional
openssh-sftp-server	1:10.2p1-2ubuntu3.6	amd64	optional
openssl	3.5.5-1ubuntu3.5	amd64	optional
openssl-provider-legacy	3.5.5-1ubuntu3.5	amd64	optional
os-prober	1.84ubuntu1	amd64	optional
packagekit	1.3.4-3ubuntu1.2	amd64	optional
passwd	1:4.17.4-2ubuntu3	amd64	required
pci.ids	0.0~2026.02.12-1	all	optional
pciutils	1:3.14.0-1build2	amd64	standard
perl	5.40.1-7ubuntu0.3	amd64	standard
perl-base	5.40.1-7ubuntu0.3	amd64	required
perl-modules-5.40	5.40.1-7ubuntu0.3	all	optional
pinentry-curses	1.3.2-3ubuntu1	amd64	optional
pnp.ids	0.394-1build1	all	optional
polkitd	127-2ubuntu1.1	amd64	optional
procps	2:4.0.4-9ubuntu1	amd64	required
publicsuffix	20260129.1928-1	all	optional
python-apt-common	3.1.0ubuntu1	all	optional
python-babel-localedata	2.17.0-2	all	optional
python3	3.14.3-0ubuntu2	amd64	optional
python3-apport	2.34.1-0ubuntu0.1	all	optional
python3-apt	3.1.0ubuntu1	amd64	optional
python3-attr	25.4.0-1build1	all	optional
python3-autocommand	2.2.2-4	all	optional
python3-babel	2.17.0-2	all	optional
python3-bcrypt	5.0.0-3build1	amd64	optional
python3-blinker	1.9.0-2build1	all	optional
python3-bpfcc	0.35.0+ds-1ubuntu2	all	optional
python3-certifi	2026.1.4+ds-1	all	optional
python3-cffi-backend	2.0.0-3build1	amd64	optional
python3-chardet	5.2.0+dfsg-2build1	all	optional
python3-click	8.2.0+0.really.8.1.8-1build1	all	optional
python3-configobj	5.0.9-1build1	all	optional
python3-cryptography	46.0.5-1ubuntu2.2	amd64	optional
python3-dbus	1.4.0-1build2	amd64	optional
python3-debconf	1.5.92	all	optional
python3-distro	1.9.0-1build1	all	optional
python3-distro-info	1.15	all	optional
python3-distupgrade	1:26.04.23	all	optional
python3-gi	3.56.2-1	amd64	optional
python3-httplib2	0.22.0-1ubuntu0.1	all	optional
python3-idna	3.11-1ubuntu0.1	all	optional
python3-inflect	7.5.0-1build1	all	optional
python3-jaraco.context	6.0.1-2	all	optional
python3-jaraco.functools	4.1.0-1build1	all	optional
python3-jaraco.text	4.0.0-1build1	all	optional
python3-jinja2	3.1.6-1build1	all	optional
python3-json-pointer	2.4-4	all	optional
python3-jsonpatch	1.32-6	all	optional
python3-jsonschema	4.19.2-6ubuntu2	all	optional
python3-jsonschema-specifications	2023.12.1-4	all	optional
python3-jwt	2.10.1-4ubuntu1	all	optional
python3-launchpadlib	2.1.0-1build1	all	optional
python3-lazr.restfulclient	0.14.6-3build1	all	optional
python3-lazr.uri	1.0.6-7build1	all	optional
python3-linkify-it	2.0.3-1ubuntu3	all	optional
python3-markdown-it	3.0.0-3build1	all	optional
python3-markupsafe	3.0.3-1build1	amd64	optional
python3-mdurl	0.1.2-1build1	all	optional
python3-minimal	3.14.3-0ubuntu2	amd64	optional
python3-more-itertools	10.8.0-1build1	all	optional
python3-netaddr	1.3.0-1build1	all	optional
python3-netplan	1.2-1ubuntu5	amd64	optional
python3-oauthlib	3.3.1-1build1	all	optional
python3-passlib	1.9.3-1ubuntu1	all	optional
python3-pkg-resources	78.1.1-0.1build1	all	optional
python3-problem-report	2.34.1-0ubuntu0.1	all	optional
python3-pygments	2.19.2+dfsg-1	all	optional
python3-pyparsing	3.3.2-2	all	optional
python3-referencing	0.36.2-1ubuntu2	all	optional
python3-requests	2.32.5+dfsg-1ubuntu1	all	optional
python3-rich	13.9.4-1.2	all	optional
python3-rpds-py	0.27.1-2ubuntu3	amd64	optional
python3-serial	3.5-2build1	all	optional
python3-setuptools	78.1.1-0.1build1	all	optional
python3-software-properties	0.120.1	all	optional
python3-systemd	235-1build9	amd64	optional
python3-typeguard	4.4.4-2	all	optional
python3-typing-extensions	4.15.0-2	all	optional
python3-uc-micro	1.0.3-1build1	all	optional
python3-update-manager	1:26.04.5	all	optional
python3-urllib3	2.6.3-1ubuntu1.1	all	optional
python3-wadllib	2.0.0-3	all	optional
python3-xkit	0.5.0ubuntu8	all	optional
python3-yaml	6.0.3-1build1	amd64	optional
python3-zipp	3.23.0-1build1	all	optional
python3.14	3.14.4-1ubuntu0.2	amd64	optional
python3.14-minimal	3.14.4-1ubuntu0.2	amd64	optional
readline-common	8.3-4	all	optional
rpcsvc-proto	1.4.3-1build1	amd64	optional
rust-coreutils	0.8.0-0ubuntu3	amd64	required
screen	4.9.1-3ubuntu2	amd64	standard
sed	4.9-2ubuntu1	amd64	required
sensible-utils	0.0.26build1	all	required
sg3-utils	1.48-3ubuntu3.1	amd64	optional
sg3-utils-udev	1.48-3ubuntu3.1	all	optional
sgml-base	1.31+nmu1build1	all	optional
shared-mime-info	2.4-5build3	amd64	optional
snapd	2.76.3+ubuntu26.04	amd64	optional
software-properties-common	0.120.1	all	optional
squashfs-tools	1:4.7.5-1	amd64	optional
ssh-import-id	5.11-0ubuntu4	all	optional
sudo	1.9.17p2-1ubuntu3.1	amd64	optional
sudo-common	1.2ubuntu	all	optional
sudo-rs	0.2.13-0ubuntu1.2	amd64	optional
systemd	259.5-0ubuntu3.4	amd64	important
systemd-cryptsetup	259.5-0ubuntu3.4	amd64	important
systemd-hwe-hwdb	259.5.3ubuntu	all	optional
systemd-resolved	259.5-0ubuntu3.4	amd64	important
systemd-sysv	259.5-0ubuntu3.4	amd64	important
sysvinit-utils	3.15-5ubuntu1	amd64	required
tar	1.35+dfsg-4ubuntu0.4	amd64	required
thermald	2.5.11-0ubuntu1	amd64	optional
thin-provisioning-tools	1.1.0-4ubuntu2	amd64	optional
tzdata	2026c-0ubuntu0.26.04.1	all	required
ubuntu-drivers-common	1:0.10.9	amd64	optional
ubuntu-kernel-accessories	1.570.3	amd64	optional
ubuntu-keyring	2023.11.28.1build1	all	important
ubuntu-release-upgrader-core	1:26.04.23	all	optional
ubuntu-server-minimal	1.570.3	amd64	optional
ucf	3.0052ubuntu1	all	standard
